2026-05-23 14:41:49,291 | INFO | main | Loading dataset...
2026-05-23 14:41:49,291 | INFO | main | Starting preprocessing...
2026-05-23 14:41:49,291 | INFO | preprocessing | Starting preprocessing pipeline
2026-05-23 14:41:49,291 | INFO | preprocessing | Loading raw dataset
2026-05-23 14:42:24,958 | INFO | risk_model | Loading model
2026-05-23 23:46:39,207 | INFO | main | Loading dataset...
2026-05-23 23:46:39,208 | INFO | main | Starting preprocessing...
2026-05-23 23:46:39,208 | INFO | preprocessing | Starting preprocessing pipeline
2026-05-23 23:46:39,208 | INFO | preprocessing | Loading raw dataset
2026-05-23 23:48:48,298 | INFO | preprocessing | Dataset Shape: (2260701, 151)
2026-05-23 23:48:54,280 | INFO | preprocessing | Removed 0 duplicate rows
2026-05-23 23:48:54,888 | INFO | preprocessing | Removed 15 leakage columns
2026-05-23 23:48:55,024 | INFO | preprocessing | Creating default target
2026-05-23 23:48:55,290 | INFO | preprocessing | Processing date columns
2026-05-23 23:48:55,518 | INFO | preprocessing | Processing employment length
2026-05-23 23:48:55,820 | INFO | preprocessing | Processing percentage columns
2026-05-23 23:48:57,293 | INFO | preprocessing | Creating risk features
2026-05-23 23:48:57,318 | INFO | preprocessing | Dropping high null columns
2026-05-23 23:48:58,483 | INFO | preprocessing | Dropped 38 high-null columns
2026-05-23 23:48:58,617 | INFO | preprocessing | Handling missing values
2026-05-23 23:49:02,486 | INFO | preprocessing | Encoding categorical columns
2026-05-23 23:49:10,641 | INFO | preprocessing | Selecting final features
2026-05-23 23:49:10,735 | INFO | preprocessing | Optimizing memory
2026-05-23 23:49:11,007 | INFO | preprocessing | Preprocessing completed
2026-05-23 23:49:11,007 | INFO | preprocessing | Final Shape: (2260701, 23)
2026-05-23 23:49:11,007 | INFO | main | Training PD model...
2026-05-23 23:49:11,007 | INFO | risk_model | Preparing train/test datasets
2026-05-23 23:49:11,475 | INFO | risk_model | Training XGBoost model
2026-05-23 23:49:19,436 | INFO | risk_model | Training completed
2026-05-23 23:49:19,436 | INFO | risk_model | Evaluating model
2026-05-23 23:49:20,282 | INFO | risk_model | Metrics: {'auc': 0.7509056480211055, 'accuracy': 0.8699587075713108, 'precision': 0.5480984340044742, 'recall': 0.0083215868756687, 'f1_score': 0.016394265352894927}
2026-05-23 23:49:20,283 | INFO | main | Model Metrics: {'auc': 0.7509056480211055, 'accuracy': 0.8699587075713108, 'precision': 0.5480984340044742, 'recall': 0.0083215868756687, 'f1_score': 0.016394265352894927}
2026-05-23 23:49:21,513 | INFO | main | Running ECL engine...
2026-05-23 23:49:21,513 | INFO | ecl_engine | Running IFRS9 engine
2026-05-23 23:49:49,431 | INFO | ecl_engine | IFRS9 calculation completed
2026-05-23 23:49:49,431 | INFO | main | Running validation engine...
2026-05-23 23:49:49,431 | INFO | validation | Starting validation engine
2026-05-23 23:49:49,431 | INFO | validation | Generating portfolio summary
2026-05-23 23:49:49,439 | INFO | validation | Running drift analysis
2026-05-23 23:49:53,192 | INFO | validation | Running bias analysis
2026-05-23 23:49:53,192 | INFO | validation | Generating risk distribution
2026-05-23 23:49:53,195 | INFO | validation | Analyzing top risk segments
2026-05-23 23:49:53,195 | INFO | validation | Validation completed
2026-05-23 23:49:53,195 | INFO | main | Initializing RAG pipeline...
2026-05-23 23:49:53,222 | INFO | rag_pipeline | Creating new vector database
2026-05-23 23:49:53,222 | INFO | rag_pipeline | Building vector database
2026-05-23 23:49:53,222 | INFO | rag_pipeline | Loading regulatory PDFs
2026-05-23 23:49:54,279 | INFO | rag_pipeline | Loaded 231 document pages
2026-05-23 23:49:54,279 | INFO | rag_pipeline | Chunking documents
2026-05-23 23:49:54,285 | INFO | rag_pipeline | Generated 656 chunks
2026-05-24 00:13:05,874 | INFO | risk_model | Loading model
2026-05-24 00:13:24,665 | INFO | main | Loading dataset...
2026-05-24 00:13:24,665 | INFO | main | Starting preprocessing...
2026-05-24 00:13:24,665 | INFO | preprocessing | Starting preprocessing pipeline
2026-05-24 00:13:24,665 | INFO | preprocessing | Loading raw dataset
2026-05-24 00:15:01,258 | INFO | preprocessing | Dataset Shape: (2260701, 151)
2026-05-24 00:15:07,722 | INFO | preprocessing | Removed 0 duplicate rows
2026-05-24 00:15:08,428 | INFO | preprocessing | Removed 15 leakage columns
2026-05-24 00:15:08,596 | INFO | preprocessing | Creating default target
2026-05-24 00:15:08,884 | INFO | preprocessing | Processing date columns
2026-05-24 00:15:09,108 | INFO | preprocessing | Processing employment length
2026-05-24 00:15:09,418 | INFO | preprocessing | Processing percentage columns
2026-05-24 00:15:10,989 | INFO | preprocessing | Creating risk features
2026-05-24 00:15:11,015 | INFO | preprocessing | Dropping high null columns
2026-05-24 00:15:12,238 | INFO | preprocessing | Dropped 38 high-null columns
2026-05-24 00:15:12,376 | INFO | preprocessing | Handling missing values
2026-05-24 00:15:16,345 | INFO | preprocessing | Encoding categorical columns
2026-05-24 00:15:24,771 | INFO | preprocessing | Selecting final features
2026-05-24 00:15:24,857 | INFO | preprocessing | Optimizing memory
2026-05-24 00:15:25,127 | INFO | preprocessing | Preprocessing completed
2026-05-24 00:15:25,127 | INFO | preprocessing | Final Shape: (2260701, 23)
2026-05-24 00:15:25,127 | INFO | main | Training PD model...
2026-05-24 00:15:25,127 | INFO | risk_model | Preparing train/test datasets
2026-05-24 00:15:25,591 | INFO | risk_model | Training XGBoost model
2026-05-24 00:15:33,256 | INFO | risk_model | Training completed
2026-05-24 00:15:33,256 | INFO | risk_model | Evaluating model
2026-05-24 00:15:34,026 | INFO | risk_model | Metrics: {'auc': 0.7509056480211055, 'accuracy': 0.8699587075713108, 'precision': 0.5480984340044742, 'recall': 0.0083215868756687, 'f1_score': 0.016394265352894927}
2026-05-24 00:15:34,026 | INFO | main | Model Metrics: {'auc': 0.7509056480211055, 'accuracy': 0.8699587075713108, 'precision': 0.5480984340044742, 'recall': 0.0083215868756687, 'f1_score': 0.016394265352894927}
2026-05-24 00:15:35,220 | INFO | main | Running ECL engine...
2026-05-24 00:15:35,220 | INFO | ecl_engine | Running IFRS9 engine
2026-05-24 00:16:04,124 | INFO | ecl_engine | IFRS9 calculation completed
2026-05-24 00:16:04,124 | INFO | main | Running validation engine...
2026-05-24 00:16:04,124 | INFO | validation | Starting validation engine
2026-05-24 00:16:04,124 | INFO | validation | Generating portfolio summary
2026-05-24 00:16:04,133 | INFO | validation | Running drift analysis
2026-05-24 00:16:07,897 | INFO | validation | Running bias analysis
2026-05-24 00:16:07,897 | INFO | validation | Generating risk distribution
2026-05-24 00:16:07,900 | INFO | validation | Analyzing top risk segments
2026-05-24 00:16:07,900 | INFO | validation | Validation completed
2026-05-24 00:16:07,900 | INFO | main | Initializing RAG pipeline...
2026-05-24 00:16:07,928 | INFO | rag_pipeline | Creating new vector database
2026-05-24 00:16:07,928 | INFO | rag_pipeline | Building vector database
